,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGPc,_3P,_3PA,_3PTPc,_2P,_2PA,_2PTPc,eFGPc,FT,FTA,FTPc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
0,1,Curly Armstrong,G-F,31,FTW,63,,,144,516,.279,,,,144,516,.279,.279,170,241,.705,,,,176,,,,217,458,1950
1,2,Cliff Barker,SG,29,INO,49,,,102,274,.372,,,,102,274,.372,.372,75,106,.708,,,,109,,,,99,279,1950
2,3,Leo Barnhorst,SF,25,CHS,67,,,174,499,.349,,,,174,499,.349,.349,90,129,.698,,,,140,,,,192,438,1950
3,4,Ed Bartels,F,24,TOT,15,,,22,86,.256,,,,22,86,.256,.256,19,34,.559,,,,20,,,,29,63,1950
4,4,Ed Bartels,F,24,DNN,13,,,21,82,.256,,,,21,82,.256,.256,17,31,.548,,,,20,,,,27,59,1950
5,4,Ed Bartels,F,24,NYK,2,,,1,4,.250,,,,1,4,.250,.250,2,3,.667,,,,0,,,,2,4,1950
6,5,Ralph Beard,G,22,INO,60,,,340,936,.363,,,,340,936,.363,.363,215,282,.762,,,,233,,,,132,895,1950
7,6,Gene Berce,G-F,23,TRI,3,,,5,16,.313,,,,5,16,.313,.313,0,5,.000,,,,2,,,,6,10,1950
8,7,Charlie Black,F-C,28,TOT,65,,,226,813,.278,,,,226,813,.278,.278,209,321,.651,,,,163,,,,273,661,1950
9,7,Charlie Black,F-C,28,FTW,36,,,125,435,.287,,,,125,435,.287,.287,132,209,.632,,,,75,,,,140,382,1950
10,7,Charlie Black,F-C,28,AND,29,,,101,378,.267,,,,101,378,.267,.267,77,112,.688,,,,88,,,,133,279,1950
11,8,Nelson Bobb,PG,25,PHW,57,,,80,248,.323,,,,80,248,.323,.323,82,131,.626,,,,46,,,,97,242,1950
12,9,Jake Bornheimer,F-C,22,PHW,60,,,88,305,.289,,,,88,305,.289,.289,78,117,.667,,,,40,,,,111,254,1950
13,10,Vince Boryla,SF,22,NYK,59,,,204,600,.340,,,,204,600,.340,.340,204,267,.764,,,,95,,,,203,612,1950
14,11,Don Boven,F-G,24,WAT,62,,,208,558,.373,,,,208,558,.373,.373,240,349,.688,,,,137,,,,255,656,1950
15,12,Harry Boykoff,C,27,WAT,61,,,288,698,.413,,,,288,698,.413,.413,203,262,.775,,,,149,,,,229,779,1950
16,13,Joe Bradley,G,21,CHS,46,,,36,134,.269,,,,36,134,.269,.269,15,38,.395,,,,36,,,,51,87,1950
17,14,Bob Brannum,PF,23,SHE,59,,,234,718,.326,,,,234,718,.326,.326,245,355,.690,,,,205,,,,279,713,1950
18,15,Carl Braun*,G-F,22,NYK,67,,,373,1024,.364,,,,373,1024,.364,.364,285,374,.762,,,,247,,,,188,1031,1950
19,16,Frankie Brian,G,26,AND,64,,,368,1156,.318,,,,368,1156,.318,.318,402,488,.824,,,,189,,,,192,1138,1950
20,17,Price Brookfield,F-G,29,ROC,7,,,11,23,.478,,,,11,23,.478,.478,12,13,.923,,,,1,,,,7,34,1950
21,18,Bob Brown,F,26,DNN,62,,,276,764,.361,,,,276,764,.361,.361,172,252,.683,,,,101,,,,269,724,1950
22,19,Jim Browne,C,20,DNN,31,,,17,48,.354,,,,17,48,.354,.354,13,27,.481,,,,8,,,,16,47,1950
23,20,Walt Budko,PF,24,BLB,66,,,198,652,.304,,,,198,652,.304,.304,199,263,.757,,,,146,,,,259,595,1950
24,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1950
25,21,Jack Burmaster,G,23,SHE,61,,,237,711,.333,,,,237,711,.333,.333,124,182,.681,,,,179,,,,237,598,1950
26,22,Tommy Byrnes,F-G,26,BLB,53,,,120,397,.302,,,,120,397,.302,.302,87,124,.702,,,,88,,,,76,327,1950
27,23,Bill Calhoun,SG,22,ROC,62,,,207,549,.377,,,,207,549,.377,.377,146,203,.719,,,,115,,,,100,560,1950
28,24,Don Carlson,G-F,30,MNL,57,,,99,290,.341,,,,99,290,.341,.341,69,95,.726,,,,76,,,,126,267,1950
29,25,Bob Carpenter,F-C,32,FTW,66,,,212,617,.344,,,,212,617,.344,.344,190,256,.742,,,,92,,,,168,614,1950
30,26,Jake Carter,F-C,25,TOT,24,,,23,75,.307,,,,23,75,.307,.307,36,53,.679,,,,24,,,,59,82,1950
31,26,Jake Carter,F-C,25,DNN,13,,,13,45,.289,,,,13,45,.289,.289,18,26,.692,,,,16,,,,27,44,1950
32,26,Jake Carter,F-C,25,AND,11,,,10,30,.333,,,,10,30,.333,.333,18,27,.667,,,,8,,,,32,38,1950
33,27,Al Cervi*,PG,32,SYR,56,,,143,431,.332,,,,143,431,.332,.332,287,346,.829,,,,264,,,,223,573,1950
34,28,John Chaney,F-C,29,TOT,16,,,25,86,.291,,,,25,86,.291,.291,20,29,.690,,,,20,,,,23,70,1950
35,28,John Chaney,F-C,29,TRI,6,,,10,37,.270,,,,10,37,.270,.270,8,12,.667,,,,15,,,,13,28,1950
36,28,John Chaney,F-C,29,SHE,10,,,15,49,.306,,,,15,49,.306,.306,12,17,.706,,,,5,,,,10,42,1950
37,29,Leroy Chollet,F,24,SYR,49,,,61,179,.341,,,,61,179,.341,.341,35,56,.625,,,,37,,,,52,157,1950
38,30,Bill Closs,SF,28,AND,64,,,283,898,.315,,,,283,898,.315,.315,186,259,.718,,,,160,,,,190,752,1950
39,31,Paul Cloyd,G-F,29,TOT,7,,,7,26,.269,,,,7,26,.269,.269,5,8,.625,,,,2,,,,5,19,1950
40,31,Paul Cloyd,G-F,29,BLB,3,,,1,8,.125,,,,1,8,.125,.125,3,3,1.000,,,,1,,,,4,5,1950
41,31,Paul Cloyd,G-F,29,WAT,4,,,6,18,.333,,,,6,18,.333,.333,2,5,.400,,,,1,,,,1,14,1950
42,32,Jack Coleman,PF,25,ROC,68,,,250,663,.377,,,,250,663,.377,.377,90,121,.744,,,,153,,,,223,590,1950
43,33,Bobby Cook,G-F,26,SHE,51,,,222,620,.358,,,,222,620,.358,.358,143,181,.790,,,,158,,,,114,587,1950
44,34,Ray Corley,G,22,SYR,60,,,117,370,.316,,,,117,370,.316,.316,75,122,.615,,,,109,,,,81,309,1950
45,35,Jack Cotton,F-C,25,DNN,54,,,97,332,.292,,,,97,332,.292,.292,82,161,.509,,,,65,,,,184,276,1950
46,36,Dillard Crocker,PF,25,DNN,53,,,245,840,.292,,,,245,840,.292,.292,233,317,.735,,,,85,,,,223,723,1950
47,37,Chink Crossin,G,26,PHW,64,,,185,574,.322,,,,185,574,.322,.322,79,101,.782,,,,148,,,,139,449,1950
48,38,Fran Curran,G,27,ROC,66,,,98,235,.417,,,,98,235,.417,.417,199,241,.826,,,,71,,,,113,395,1950
