,Rk,Player,Pos,Age,Tm,G,MP,PG_Pc,SG_Pc,SF_Pc,PF_Pc,C_Pc,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
0,1,Quincy Acy,SF,23,TOT,63,847,,16%,77%,7%,,-6.7,-7.7,10,7,70,8,24,2,64,5,10,2014
1,1,Quincy Acy,SF,23,TOR,7,61,,,52%,48%,,-14.8,-18.8,0,1,3,1,3,0,11,0,0,2014
2,1,Quincy Acy,SF,23,SAC,56,786,,17%,79%,3%,,-6.0,-3.6,10,6,67,7,21,2,53,5,10,2014
3,2,Steven Adams,C,20,OKC,81,1197,,,,1%,99%,3.4,-4.9,13,26,68,29,51,2,97,5,13,2014
4,3,Jeff Adrien,PF,27,TOT,53,961,,,5%,94%,1%,-4.0,0.6,13,11,49,6,51,7,82,14,27,2014
5,3,Jeff Adrien,PF,27,CHA,25,256,,,20%,80%,,-0.8,-0.7,1,2,16,3,8,4,15,4,3,2014
6,3,Jeff Adrien,PF,27,MIL,28,705,,,,99%,1%,-5.3,4.4,12,9,33,3,43,3,67,10,24,2014
7,4,Arron Afflalo,SG,28,ORL,73,2552,,49%,51%,1%,,-7.6,-5.0,53,42,51,20,132,14,571,31,59,2014
8,5,Alexis Ajinça,C,25,NOP,56,951,,,,,100%,-5.6,-4.0,16,18,86,19,31,5,88,7,16,2014
9,6,Cole Aldrich,C,25,NYK,46,330,,,,,100%,-1.9,-0.9,3,6,24,6,12,1,33,2,4,2014
10,7,LaMarcus Aldridge,PF,28,POR,69,2498,,,,89%,11%,7.2,8.9,33,39,80,28,153,1,446,37,41,2014
11,8,Lavoy Allen,PF,24,TOT,65,1072,,,,60%,40%,-8.8,-6.5,20,9,74,13,16,2,168,2,11,2014
12,8,Lavoy Allen,PF,24,PHI,51,960,,,1%,67%,33%,-9.1,2.1,19,8,67,12,15,1,152,2,9,2014
13,8,Lavoy Allen,PF,24,IND,14,112,,,,,100%,-6.5,-11.6,1,1,7,1,1,1,16,0,2,2014
14,9,Ray Allen*,SG,38,MIA,73,1936,,61%,39%,,,3.5,-3.5,44,25,61,7,27,5,343,7,9,2014
15,10,Tony Allen,SG,32,MEM,55,1278,23%,74%,3%,,,5.3,4.7,43,26,41,10,59,5,202,15,35,2014
16,11,Al-Farouq Aminu,SF,23,NOP,80,2045,,,76%,23%,,-4.4,-3.7,34,26,75,18,65,8,246,10,47,2014
17,12,Lou Amundson,PF,31,TOT,19,185,,,,88%,12%,-6.2,-6.1,3,2,28,7,6,2,16,0,5,2014
18,12,Lou Amundson,PF,31,NOP,18,184,,,,88%,12%,-5.1,-2.7,3,2,28,7,6,2,16,0,5,2014
19,12,Lou Amundson,PF,31,CHI,1,1,,,,100%,,-133.3,-135.5,0,0,0,0,0,0,0,0,0,2014
20,13,Chris Andersen,C,35,MIA,72,1396,,,,28%,72%,6.5,1.8,11,13,98,17,63,7,44,12,16,2014
21,14,Alan Anderson,SF,31,BRK,78,1773,,26%,73%,1%,,0.0,1.3,34,14,64,7,50,25,191,12,24,2014
22,15,James Anderson,SG,24,PHI,80,2309,1%,74%,25%,1%,,-11.2,-1.3,47,30,97,16,43,4,353,10,39,2014
23,16,Ryan Anderson,PF,25,NOP,22,795,,,,83%,17%,1.6,5.3,3,12,25,3,23,0,38,3,13,2014
24,17,Giannis Antetokounmpo,SF,19,MIL,77,1897,,1%,74%,24%,,-5.2,7.2,45,31,71,22,76,10,337,8,29,2014
25,18,Carmelo Anthony,PF,29,NYK,77,2982,,,38%,62%,1%,1.2,9.0,72,52,90,40,203,11,588,41,71,2014
26,19,Joel Anthony,C,31,TOT,33,186,,,,40%,60%,-4.9,-5.1,0,0,13,2,3,0,6,0,2,2014
27,19,Joel Anthony,C,31,MIA,12,37,,,,9%,91%,12.1,6.8,0,0,1,1,0,0,0,0,0,2014
28,19,Joel Anthony,C,31,BOS,21,149,,,,48%,52%,-8.9,-4.0,0,0,12,1,3,0,6,0,2,2014
29,20,Pero Antić,C,31,ATL,50,925,,,,9%,91%,5.3,7.3,19,11,60,12,22,3,136,3,12,2014
30,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
31,21,Trevor Ariza,SF,28,WAS,77,2723,,2%,92%,6%,,3.5,7.3,60,37,67,22,75,12,432,13,46,2014
32,22,Hilton Armstrong,C,29,GSW,15,97,,,,15%,85%,9.5,4.6,2,1,4,3,7,0,10,1,2,2014
33,23,Darrell Arthur,SF,25,DEN,68,1161,,,27%,71%,2%,2.8,7.1,29,10,91,15,25,10,139,3,15,2014
34,24,Ömer Aşık,C,27,HOU,48,968,,,,,100%,3.9,-1.2,12,10,45,16,58,2,67,8,30,2014
35,25,D.J. Augustin,PG,26,TOT,71,1939,100%,,,,,1.3,-2.0,70,29,57,13,65,23,699,12,51,2014
36,25,D.J. Augustin,PG,26,TOR,10,82,100%,,,,,-7.9,-11.8,2,4,4,1,1,1,25,0,3,2014
37,25,D.J. Augustin,PG,26,CHI,61,1857,100%,,,,,1.8,-0.6,68,25,53,12,64,22,674,12,48,2014
38,26,Gustavo Ayón,C,28,ATL,26,429,,,,,100%,-2.2,-2.2,9,6,21,10,9,3,65,0,14,2014
39,27,Jeff Ayres,PF,26,SAS,73,952,,,4%,48%,48%,7.0,-1.6,24,12,70,20,28,6,141,4,16,2014
40,28,Chris Babb,SG,23,BOS,14,132,,62%,38%,,,-5.9,-0.8,2,0,6,0,0,0,6,0,0,2014
41,29,Luke Babbitt,PF,24,NOP,27,473,,,7%,89%,5%,6.5,10.3,6,6,21,3,6,2,68,0,8,2014
42,30,Leandro Barbosa,PG,31,PHO,20,368,47%,53%,,,,6.3,4.2,5,6,9,3,18,1,80,4,10,2014
43,31,J.J. Barea,PG,29,MIN,79,1471,100%,,,,,-3.4,-9.3,78,27,40,12,38,18,674,9,43,2014
44,32,Andrea Bargnani,C,28,NYK,42,1257,,,,22%,78%,-6.6,-8.1,18,17,38,14,49,11,105,10,19,2014
45,33,Harrison Barnes,SF,21,GSW,78,2204,,,44%,52%,4%,-1.2,-14.0,21,29,74,17,83,16,275,11,40,2014
46,34,Matt Barnes,SF,33,LAC,63,1735,,1%,82%,17%,,9.4,4.3,53,17,101,4,35,3,281,5,27,2014
47,35,Will Barton,SG,23,POR,41,387,,68%,31%,,,-2.6,-7.2,8,5,15,0,11,3,77,2,7,2014
48,36,Brandon Bass,PF,28,BOS,82,2266,,,,97%,2%,-8.1,-7.0,28,36,97,22,107,6,201,20,48,2014
49,37,Shane Battier,SF,35,MIA,73,1468,,3%,88%,9%,,7.6,3.6,15,4,83,1,7,5,156,1,6,2014
50,38,Nicolas Batum,SF,25,POR,82,2956,,5%,88%,8%,,5.2,5.4,138,30,58,16,75,15,946,15,18,2014
51,39,Jerryd Bayless,PG,25,TOT,72,1686,39%,59%,2%,,,-4.0,-3.0,52,14,71,7,35,9,444,9,21,2014
52,39,Jerryd Bayless,PG,25,MEM,31,650,61%,39%,,,,2.1,0.0,14,4,31,1,18,3,152,5,8,2014
53,39,Jerryd Bayless,PG,25,BOS,41,1036,25%,72%,4%,,,-7.6,-3.4,38,10,40,6,17,6,292,4,13,2014
54,40,Aron Baynes,C,27,SAS,53,491,,,,10%,90%,3.8,-5.0,12,8,32,8,10,2,77,2,17,2014
55,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
56,41,Kent Bazemore,SG,24,TOT,67,911,9%,41%,51%,,,-12.3,-13.3,40,24,55,3,48,10,209,4,13,2014
57,41,Kent Bazemore,SG,24,GSW,44,268,16%,68%,16%,,,-22.4,-29.4,9,10,20,1,16,2,47,0,3,2014
58,41,Kent Bazemore,SG,24,LAL,23,643,6%,30%,65%,,,-8.3,-2.7,31,14,35,2,32,8,162,4,10,2014
59,42,Bradley Beal,SG,20,WAS,73,2530,9%,90%,1%,,,2.3,2.8,64,42,94,5,70,19,543,13,40,2014
60,43,Michael Beasley,SF,25,MIA,55,831,,3%,66%,31%,,-2.1,-9.4,20,15,57,10,38,1,97,10,18,2014
