,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,Unnamed: 9,2P_FGAxDist,0_3_FGAxDist,3_10_FGAxDist,10_16_FGAxDist,16_3P_FGAxDist,3P_FGAxDist,Unnamed: 16,2P_FGPxDist,0_3_FGPxDist,3_10_FGPxDist,10_16_FGPxDist,16_3P_FGPxDist,3P_FGPxDist,Unnamed: 23,2PAstP,3PAstP,Unnamed: 26,Dunks_FGA,Num_Dunks,Unnamed: 29,Corner_3PFGA,Corner_3PP,Unnamed: 32,Heaves_Att,Heaves_Made,Season
0,1,Quincy Acy,PF,24,NYK,68,1287,.459,12.8,,.819,.296,.094,.133,.296,.181,,.494,.673,.419,.409,.378,.300,,.724,1.000,,.106,33,,.383,.261,,1,0,2015
1,2,Jordan Adams,SG,20,MEM,30,248,.407,13.1,,.709,.267,.174,.081,.186,.291,,.410,.565,.267,.714,.188,.400,,.600,.900,,.000,0,,.360,.222,,0,0,2015
2,3,Steven Adams,C,21,OKC,70,1771,.544,3.3,,.995,.599,.356,.038,.003,.005,,.547,.644,.408,.333,.000,.000,,.650,,,.213,72,,.000,,,1,0,2015
3,4,Jeff Adrien,PF,28,MIN,17,215,.432,5.3,,1.000,.523,.250,.114,.114,.000,,.432,.522,.273,.400,.400,,,.632,,,.068,2,,,,,0,0,2015
4,5,Arron Afflalo,SG,29,TOT,78,2502,.424,16.3,,.623,.124,.136,.161,.202,.377,,.466,.573,.375,.486,.447,.354,,.549,.958,,.000,0,,.387,.341,,0,0,2015
5,5,Arron Afflalo,SG,29,DEN,53,1750,.428,16.2,,.630,.117,.148,.170,.195,.370,,.481,.571,.361,.500,.500,.337,,.543,.976,,.000,0,,.383,.355,,0,0,2015
6,5,Arron Afflalo,SG,29,POR,25,752,.414,16.7,,.604,.145,.101,.132,.225,.396,,.423,.576,.435,.433,.314,.400,,.569,.917,,.000,0,,.400,.306,,0,0,2015
7,6,Alexis Ajinça,C,26,NOP,68,957,.550,7.2,,1.000,.340,.353,.198,.106,.000,,.550,.616,.552,.508,.429,,,.613,,,.088,28,,,,,0,0,2015
8,7,Furkan Aldemir,PF,23,PHI,41,540,.513,5.9,,.936,.628,.167,.013,.128,.064,,.548,.694,.154,1.000,.300,.000,,.450,,,.128,10,,.000,,,0,0,2015
9,8,Cole Aldrich,C,26,NYK,61,976,.478,4.7,,1.000,.349,.571,.060,.007,.000,,.478,.695,.366,.333,.000,,,.653,,,.093,26,,,,,0,0,2015
10,9,LaMarcus Aldridge,PF,29,POR,71,2512,.466,12.8,,.926,.192,.164,.206,.365,.074,,.475,.701,.448,.392,.415,.352,,.468,.919,,.020,27,,.295,.355,,1,0,2015
11,10,Lavoy Allen,C,25,IND,63,1070,.472,10.3,,1.000,.308,.224,.090,.378,.000,,.472,.707,.403,.259,.372,,,.674,,,.030,8,,,,,0,0,2015
12,11,Tony Allen,SG,33,MEM,63,1648,.495,4.7,,.936,.690,.165,.031,.051,.064,,.505,.564,.333,.500,.261,.345,,.595,1.000,,.053,22,,.621,.333,,0,0,2015
13,12,Al-Farouq Aminu,SF,24,DAL,74,1366,.412,11.4,,.653,.406,.140,.036,.070,.347,,.485,.628,.240,.538,.120,.274,,.673,1.000,,.132,42,,.500,.306,,0,0,2015
14,13,Lou Amundson,PF,32,TOT,53,937,.427,5.3,,.996,.494,.318,.122,.055,.004,,.429,.468,.358,.387,.500,.000,,.670,,,.071,16,,.000,,,1,0,2015
15,13,Lou Amundson,PF,32,CLE,12,79,.333,3.6,,1.000,.500,.500,.000,.000,.000,,.333,.333,.333,,,,,.750,,,.167,1,,,,,0,0,2015
16,13,Lou Amundson,PF,32,NYK,41,858,.432,5.4,,.996,.494,.309,.128,.058,.004,,.434,.475,.360,.387,.500,.000,,.667,,,.066,15,,.000,,,1,0,2015
17,14,Chris Andersen,C,36,MIA,60,1132,.580,5.5,,.937,.705,.082,.043,.097,.063,,.598,.671,.412,.333,.400,.308,,.784,1.000,,.271,52,,.538,.571,,3,0,2015
18,15,Alan Anderson,SG,32,BRK,74,1744,.443,16.1,,.523,.230,.111,.095,.086,.477,,.530,.683,.449,.452,.289,.348,,.541,.822,,.025,10,,.362,.434,,5,0,2015
