,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
0,1,Quincy Acy,PF,25,SAC,59,876,,,,92%,8%,-7.1,-5.5,8,6,51,5,27,5,62,9,6,2016
1,2,Jordan Adams,SG,21,MEM,2,15,,60%,40%,,,9.3,11.7,0,2,0,0,2,0,6,1,0,2016
2,3,Steven Adams,C,22,OKC,80,2014,,,,,100%,11.3,8.2,24,22,107,23,83,7,144,20,31,2016
3,4,Arron Afflalo,SG,30,NYK,71,2371,1%,81%,18%,,,-3.6,-1.9,27,25,51,13,67,4,337,23,47,2016
4,5,Alexis Ajinça,C,27,NOP,59,861,,,,,100%,-3.3,0.7,13,21,56,13,28,7,77,6,12,2016
5,6,Cole Aldrich,C,27,LAC,60,800,,,,3%,97%,0.3,-5.0,20,16,79,19,39,2,125,5,18,2016
6,7,LaMarcus Aldridge,PF,30,SAS,74,2261,,,,54%,46%,11.6,0.1,34,32,91,12,144,5,261,27,37,2016
7,8,Cliff Alexander,PF,20,POR,8,36,,,,100%,,-17.0,-17.9,0,1,1,0,0,0,0,0,1,2016
8,9,Lavoy Allen,PF,26,IND,79,1599,,,1%,89%,11%,6.3,7.3,39,11,92,11,30,3,183,6,22,2016
9,10,Tony Allen,SG,34,MEM,64,1620,6%,93%,2%,,,-0.6,3.0,34,25,67,8,63,4,151,14,59,2016
10,11,Al-Farouq Aminu,SF,25,POR,82,2341,,,56%,44%,1%,1.7,2.2,44,44,70,16,74,15,335,17,35,2016
11,12,Lou Amundson,PF,33,NYK,29,204,,,,65%,35%,-10.4,-8.0,5,4,22,4,13,0,25,5,3,2016
12,13,Chris Andersen,C,37,TOT,27,402,,,,1%,100%,-9.2,-9.5,4,2,17,2,12,2,28,0,6,2016
13,13,Chris Andersen,C,37,MIA,7,36,,,,,100%,-21.5,-23.7,1,0,2,1,2,0,7,0,1,2016
14,13,Chris Andersen,C,37,MEM,20,366,,,,1%,100%,-7.9,-6.1,3,2,15,1,10,2,21,0,5,2016
15,14,Alan Anderson,SG,33,WAS,13,192,12%,33%,55%,,,6.6,7.4,2,0,12,0,7,0,31,3,3,2016
16,15,James Anderson,SG,26,SAC,51,721,,32%,64%,3%,,-4.5,-2.0,17,13,35,4,10,2,98,2,11,2016
17,16,Justin Anderson,SF,22,DAL,55,647,2%,15%,77%,7%,,1.4,1.9,11,6,24,2,21,0,70,3,11,2016
18,17,Kyle Anderson,SF,22,SAS,78,1245,,1%,65%,34%,,9.4,-3.1,35,7,42,7,34,9,277,8,16,2016
19,18,Ryan Anderson,PF,27,NOP,66,2008,,,1%,85%,14%,-0.7,6.6,31,32,44,11,94,8,177,14,41,2016
20,19,Giannis Antetokounmpo,PG,21,MIL,80,2823,40%,59%,1%,,,-3.0,3.7,85,52,107,31,176,8,758,38,61,2016
21,20,Thanasis Antetokounmpo,SF,23,NYK,2,6,,,100%,,,-46.2,-43.4,0,0,1,0,0,0,0,0,0,2016
