,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot_1,Off_1,Shoot_2,Off_2,PGA,And1,Blkd,Season
0,1,Álex Abrines,SG,23,OKC,68,1055,,79%,21%,,,-1.1,-2.2,17,7,62,4,15,10,94,4,8,2017
1,2,Quincy Acy,PF,26,TOT,38,558,,,2%,81%,17%,-3.7,1.2,5,7,25,6,24,5,42,7,8,2017
2,2,Quincy Acy,PF,26,DAL,6,48,,,25%,75%,,-29.0,-26.0,2,0,1,0,2,1,0,1,0,2017
3,2,Quincy Acy,PF,26,BRK,32,510,,,,82%,18%,-1.6,5.5,3,7,24,6,22,4,42,6,8,2017
4,3,Steven Adams,C,23,OKC,80,2389,,,,,100%,3.5,7.6,37,57,75,32,117,7,217,28,43,2017
5,4,Arron Afflalo,SG,31,SAC,61,1580,4%,66%,30%,,,-7.5,-5.9,18,10,49,8,30,3,185,7,28,2017
6,5,Alexis Ajinça,C,28,NOP,39,584,,,,,100%,-5.0,-3.6,7,8,44,8,21,0,27,7,14,2017
7,6,Cole Aldrich,C,28,MIN,62,531,,,,26%,74%,-1.6,-0.6,0,6,35,7,10,2,59,3,7,2017
8,7,LaMarcus Aldridge,PF,31,SAS,72,2335,,,,69%,31%,5.8,-5.0,33,34,94,15,110,4,345,17,32,2017
9,8,Lavoy Allen,PF,27,IND,61,871,,,,84%,16%,-5.9,-7.3,18,7,50,2,10,0,135,3,13,2017
10,9,Tony Allen,SG,35,MEM,71,1914,2%,77%,21%,,,1.6,1.7,49,30,78,6,58,7,214,12,73,2017
11,10,Al-Farouq Aminu,PF,26,POR,61,1773,,,,95%,5%,1.8,3.9,35,30,48,9,67,11,241,13,24,2017
12,11,Chris Andersen,C,38,CLE,12,114,,,,4%,96%,4.5,1.3,3,1,13,1,6,1,14,0,2,2017
13,12,Alan Anderson,SF,34,LAC,30,308,,6%,86%,8%,,-10.7,-16.1,3,2,14,0,7,1,23,2,0,2017
14,13,Justin Anderson,SF,23,TOT,75,1228,,6%,84%,11%,,-7.7,-3.7,24,22,58,10,57,6,156,9,17,2017
15,13,Justin Anderson,SF,23,DAL,51,710,,8%,82%,10%,,-9.6,-7.8,17,12,36,6,41,5,73,5,11,2017
16,13,Justin Anderson,SF,23,PHI,24,518,,3%,85%,12%,,-5.3,0.7,7,10,22,4,16,1,83,4,6,2017
17,14,Kyle Anderson,SF,23,SAS,72,1020,,21%,69%,9%,,10.3,3.2,15,11,28,2,25,7,215,3,15,2017
18,15,Ryan Anderson,PF,28,HOU,72,2116,,,,95%,5%,9.0,6.1,14,23,68,10,59,12,185,11,24,2017
19,16,Giannis Antetokounmpo,SF,22,MIL,80,2845,,3%,65%,31%,,1.0,3.2,83,69,100,40,261,7,1057,60,74,2017
20,17,Carmelo Anthony,SF,32,NYK,74,2538,,,69%,31%,,-4.7,-2.3,69,42,87,26,155,5,496,30,37,2017
21,18,Joel Anthony,C,34,SAS,19,122,,,,18%,82%,-6.2,-14.6,2,0,5,1,2,0,7,0,1,2017
22,19,Trevor Ariza,SF,31,HOU,80,2773,,2%,78%,21%,,6.3,0.4,40,16,60,5,48,10,427,9,22,2017
23,20,Darrell Arthur,PF,28,DEN,41,639,,,,58%,42%,-0.8,-1.0,20,7,47,6,9,1,99,2,5,2017
24,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
