,Player,Pos,Age,Tm,G,MP,PER,TS,Ar3P,FTr,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP,Season,PlayerID
0,Precious Achiuwa,PF,21,MIA,27,391,14.5,0.585,0.0,0.565,10.9,19.1,15.2,7.0,1.5,3.9,16.8,19.7,0.2,0.6,0.7,0.091,-3.3,-0.3,-3.6,-0.2,2021,achiupr01
1,Jaylen Adams,PG,24,MIL,6,17,-6.9,0.125,0.25,0.0,0.0,18.2,9.3,13.3,0.0,0.0,0.0,19.7,-0.1,0.0,-0.1,-0.262,-15.6,-5.2,-20.9,-0.1,2021,adamsja01
2,Steven Adams,C,27,NOP,25,727,15.7,0.5870000000000001,0.006999999999999999,0.4,16.9,17.8,17.4,10.7,1.5,1.9,20.3,13.0,1.1,0.5,1.6,0.105,-0.1,-1.1,-1.2,0.1,2021,adamsst01
3,Bam Adebayo,C,23,MIA,25,839,22.6,0.64,0.016,0.47600000000000003,6.8,23.8,15.7,27.5,1.5,3.0,16.3,24.5,2.2,1.3,3.4,0.195,2.8,2.0,4.8,1.4,2021,adebaba01
4,LaMarcus Aldridge,C,35,SAS,18,480,15.2,0.542,0.298,0.09300000000000001,3.2,14.0,8.4,11.4,0.7,2.8,6.4,22.3,0.2,0.5,0.7,0.075,0.3,-1.0,-0.7,0.2,2021,aldrila01
5,Ty-Shon Alexander,SG,22,PHO,3,8,-11.9,0.0,0.33299999999999996,0.0,0.0,13.4,6.9,14.8,0.0,0.0,0.0,16.8,-0.1,0.0,-0.1,-0.32,-16.4,-4.8,-21.2,0.0,2021,alexaty01
6,Nickeil Alexander-Walker,SG,22,NOP,22,438,11.8,0.49700000000000005,0.46,0.171,1.3,13.9,7.6,14.9,2.8,1.9,13.0,22.5,-0.2,0.4,0.2,0.018000000000000002,-2.8,0.0,-2.7,-0.1,2021,alexani01
7,Grayson Allen,SG,25,MEM,17,396,13.5,0.617,0.7170000000000001,0.292,1.9,12.2,6.9,11.0,2.2,0.7,12.3,16.6,0.5,0.4,0.9,0.111,-0.1,0.4,0.3,0.2,2021,allengr01
8,Jarrett Allen,C,22,TOT,28,734,22.5,0.695,0.021,0.695,12.6,25.5,19.1,9.1,0.9,5.5,14.8,17.1,2.3,0.9,3.1,0.203,2.3,0.4,2.7,0.9,2021,allenja01
9,Al-Farouq Aminu,PF,30,ORL,1,5,-9.7,0.0,0.0,0.0,0.0,21.7,10.4,24.8,0.0,0.0,53.2,16.0,0.0,0.0,0.0,-0.396,-15.3,-1.7,-17.0,0.0,2021,aminual01
10,Kyle Anderson,PF,27,MEM,22,623,16.7,0.569,0.408,0.223,3.6,21.3,12.2,19.0,1.6,2.5,11.4,19.7,0.8,0.8,1.6,0.12300000000000001,1.4,0.8,2.2,0.7,2021,anderky01
11,Giannis Antetokounmpo,PF,26,MIL,26,869,28.1,0.618,0.21600000000000003,0.534,5.9,29.8,18.1,27.1,1.6,3.5,13.8,32.8,2.6,1.4,4.1,0.225,5.1,1.8,6.9,2.0,2021,antetgi01
12,Kostas Antetokounmpo,PF,23,LAL,1,8,-9.1,0.0,0.0,0.0,0.0,54.0,27.9,0.0,0.0,21.4,50.0,21.7,-0.1,0.0,-0.1,-0.40700000000000003,-19.3,2.0,-17.3,0.0,2021,antetko01
13,Thanasis Antetokounmpo,SF,28,MIL,17,149,10.3,0.688,0.26899999999999996,0.26899999999999996,9.5,12.5,11.0,12.2,1.6,1.8,34.0,12.4,0.1,0.2,0.2,0.08,-3.3,0.1,-3.2,0.0,2021,antetth01
14,Carmelo Anthony,PF,36,POR,25,636,14.2,0.524,0.397,0.255,2.1,13.0,7.3,7.3,1.5,2.9,6.9,23.3,0.4,0.4,0.7,0.055,-0.9,-1.7,-2.6,-0.1,2021,anthoca01
15,Cole Anthony,PG,20,ORL,25,667,10.4,0.469,0.309,0.204,3.0,14.8,8.6,21.5,1.2,1.5,14.8,22.0,-0.6,0.6,0.0,-0.003,-3.0,-1.1,-4.1,-0.4,2021,anthoco01
16,OG Anunoby,SF,23,TOR,17,592,14.6,0.63,0.5479999999999999,0.266,4.9,13.9,9.2,6.6,2.8,1.5,13.2,16.4,0.7,0.7,1.4,0.114,0.2,0.8,1.0,0.5,2021,anunoog01
17,Ryan Arcidiacono,PG,26,CHI,10,100,10.8,0.537,0.682,0.22699999999999998,1.1,20.7,11.1,18.8,1.4,0.0,7.6,11.1,0.1,0.1,0.2,0.115,-2.7,0.8,-1.9,0.0,2021,arcidry01
18,D.J. Augustin,PG,33,MIL,26,465,10.9,0.521,0.637,0.281,2.3,4.7,3.5,19.1,1.3,0.2,12.2,15.6,0.6,0.3,0.8,0.087,-0.5,-1.6,-2.1,0.0,2021,augusdj01
19,Deni Avdija,SF,20,WAS,21,482,9.0,0.535,0.5660000000000001,0.147,2.5,20.1,11.0,9.3,1.5,0.7,11.0,13.2,0.1,0.4,0.5,0.046,-2.9,-0.7,-3.6,-0.2,2021,avdijde01
20,Deandre Ayton,C,22,PHO,26,832,17.6,0.609,0.055999999999999994,0.223,13.3,28.8,21.2,8.4,0.5,2.7,15.9,18.9,1.2,1.3,2.6,0.149,-0.6,-0.3,-0.8,0.2,2021,aytonde01
