,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGPc,_3P,_3PA,_3PTPc,_2P,_2PA,_2PTPc,eFGPc,FT,FTA,FTPc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,PlayerID
0,Precious Achiuwa,PF,21,MIA,27,2,14.5,6.1,10.6,0.574,0.0,0.0,0.0,6.1,10.6,0.574,0.574,3.3,6.0,0.5539999999999999,3.3,6.4,9.8,1.6,1.1,1.4,2.7,4.9,15.5,2021,achiupr01
1,Jaylen Adams,PG,24,MIL,6,0,2.8,2.1,16.9,0.125,0.0,4.2,0.0,2.1,12.7,0.16699999999999998,0.125,0.0,0.0,0.0,0.0,6.4,6.4,4.2,0.0,0.0,0.0,2.1,4.2,2021,adamsja01
2,Steven Adams,C,27,NOP,25,25,29.1,4.4,7.4,0.593,0.0,0.0,0.0,4.4,7.4,0.597,0.593,1.4,3.0,0.483,5.5,5.8,11.3,2.9,1.1,0.6,2.2,2.4,10.3,2021,adamsst01
3,Bam Adebayo,C,23,MIA,25,25,33.6,7.8,13.7,0.5710000000000001,0.1,0.2,0.4,7.7,13.5,0.573,0.574,5.5,6.5,0.8420000000000001,2.1,8.0,10.1,5.7,1.1,1.1,3.2,2.7,21.2,2021,adebaba01
4,LaMarcus Aldridge,C,35,SAS,18,18,26.7,8.0,16.9,0.47600000000000003,1.8,5.0,0.358,6.2,11.8,0.525,0.529,1.2,1.6,0.762,1.1,4.7,5.9,2.6,0.5,1.2,1.2,2.0,19.0,2021,aldrila01
5,Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,13.5,0.0,0.0,4.5,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,0.0,0.0,0.0,4.5,0.0,2021,alexaty01
6,Nickeil Alexander-Walker,SG,22,NOP,22,3,19.9,6.2,15.4,0.406,1.9,7.1,0.267,4.4,8.3,0.525,0.46799999999999997,2.1,2.6,0.7809999999999999,0.4,4.5,4.9,3.7,2.1,0.7,2.5,3.2,16.4,2021,alexani01
7,Grayson Allen,SG,25,MEM,17,6,23.3,4.5,10.9,0.41700000000000004,3.3,7.8,0.419,1.3,3.1,0.41200000000000003,0.5670000000000001,2.8,3.2,0.8859999999999999,0.6,3.9,4.5,3.0,1.6,0.3,1.7,2.0,15.2,2021,allengr01
8,Jarrett Allen,C,22,TOT,28,10,26.2,6.0,9.3,0.642,0.0,0.2,0.25,5.9,9.1,0.6509999999999999,0.645,4.9,6.5,0.758,4.0,8.3,12.4,2.2,0.6,2.3,2.1,2.2,16.9,2021,allenja01
9,Al-Farouq Aminu,PF,30,ORL,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,7.2,7.2,7.2,0.0,0.0,7.2,0.0,0.0,2021,aminual01
10,Kyle Anderson,PF,27,MEM,22,22,28.3,6.2,13.5,0.45899999999999996,2.1,5.5,0.379,4.1,8.0,0.514,0.536,2.4,3.0,0.7879999999999999,1.2,6.8,8.0,4.9,1.2,1.0,1.9,2.3,16.8,2021,anderky01
11,Giannis Antetokounmpo,PF,26,MIL,26,26,33.4,11.1,19.7,0.563,1.2,4.3,0.282,9.9,15.5,0.6409999999999999,0.593,6.7,10.5,0.638,1.9,10.4,12.3,6.2,1.2,1.4,3.9,3.4,30.1,2021,antetgi01
12,Kostas Antetokounmpo,PF,23,LAL,1,0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,9.0,9.0,4.5,0.0,2021,antetko01
13,Thanasis Antetokounmpo,SF,28,MIL,17,0,8.8,4.1,6.3,0.654,0.5,1.7,0.28600000000000003,3.6,4.6,0.789,0.6920000000000001,1.0,1.7,0.5710000000000001,3.1,4.3,7.5,3.6,1.2,0.7,3.6,6.0,9.7,2021,antetth01
14,Carmelo Anthony,PF,36,POR,25,3,25.4,6.6,16.4,0.4,2.4,6.5,0.374,4.1,9.9,0.41700000000000004,0.474,3.6,4.2,0.851,0.7,4.2,4.9,1.8,1.1,1.1,1.4,2.9,19.1,2021,anthoca01
15,Cole Anthony,PG,20,ORL,25,17,26.7,5.5,14.5,0.375,1.5,4.5,0.325,4.0,10.0,0.39799999999999996,0.426,2.5,3.0,0.836,1.1,4.9,6.0,5.1,0.9,0.6,2.8,2.8,14.8,2021,anthoco01
16,OG Anunoby,SF,23,TOR,17,17,34.8,5.2,10.8,0.486,2.6,5.9,0.433,2.7,4.9,0.55,0.605,2.1,2.9,0.745,1.6,4.4,6.0,1.6,2.1,0.5,1.8,3.0,15.1,2021,anunoog01
17,Ryan Arcidiacono,PG,26,CHI,10,0,10.0,2.9,7.9,0.364,2.2,5.4,0.4,0.7,2.5,0.28600000000000003,0.5,1.4,1.8,0.8,0.4,6.8,7.2,5.4,1.1,0.0,0.7,3.6,9.4,2021,arcidry01
18,D.J. Augustin,PG,33,MIL,26,0,17.9,3.6,10.5,0.341,2.5,6.7,0.37200000000000005,1.1,3.8,0.28600000000000003,0.45899999999999996,2.6,2.9,0.895,0.8,1.6,2.4,5.8,1.0,0.1,1.6,1.5,12.2,2021,augusdj01
19,Deni Avdija,SF,20,WAS,21,16,23.0,4.1,9.6,0.426,1.9,5.5,0.35600000000000004,2.2,4.2,0.518,0.527,0.8,1.4,0.579,0.9,6.6,7.5,2.5,1.2,0.3,1.3,4.4,11.0,2021,avdijde01
20,Deandre Ayton,C,22,PHO,26,26,32.0,6.8,11.6,0.584,0.1,0.6,0.2,6.7,11.0,0.606,0.589,1.9,2.6,0.7170000000000001,4.2,9.6,13.9,2.0,0.3,1.1,2.4,3.8,15.6,2021,aytonde01
21,Udoka Azubuike,C,21,UTA,12,0,4.1,2.9,5.1,0.5710000000000001,0.0,0.0,0.0,2.9,5.1,0.5710000000000001,0.5710000000000001,2.9,4.4,0.667,2.9,6.6,9.6,0.0,0.7,2.9,2.2,5.9,8.8,2021,azubuud01
22,Dwayne Bacon,SG,25,ORL,28,19,25.1,5.7,13.9,0.413,1.4,4.1,0.35,4.3,9.8,0.44,0.465,2.3,2.8,0.8,0.6,3.9,4.5,1.5,1.1,0.1,1.0,2.4,15.2,2021,bacondw01
23,Marvin Bagley III,PF,21,SAC,25,25,24.9,7.4,15.5,0.47600000000000003,1.5,4.0,0.371,5.9,11.5,0.513,0.524,2.1,4.2,0.514,3.0,7.6,10.6,1.3,0.7,0.7,2.1,3.6,18.4,2021,baglema01
24,LaMelo Ball,PG,19,CHO,28,8,27.7,7.1,16.1,0.43700000000000006,2.4,6.7,0.354,4.7,9.5,0.495,0.51,2.6,3.2,0.797,2.0,6.0,8.0,7.9,2.0,0.5,3.5,3.4,19.0,2021,ballla01
25,Lonzo Ball,PG,23,NOP,23,23,30.8,5.9,14.1,0.42100000000000004,3.3,8.7,0.37799999999999995,2.6,5.4,0.491,0.5379999999999999,0.9,1.2,0.7390000000000001,0.8,4.5,5.2,5.5,1.4,0.6,2.4,2.8,16.0,2021,balllo01
26,Mo Bamba,C,22,ORL,12,0,8.6,9.1,17.5,0.52,1.4,5.2,0.267,7.7,12.2,0.629,0.56,1.0,1.7,0.6,5.2,10.1,15.4,1.4,0.7,2.8,1.4,4.9,20.6,2021,bambamo01
27,Desmond Bane,SG,22,MEM,20,2,22.8,5.9,12.2,0.484,3.2,6.7,0.48200000000000004,2.7,5.5,0.486,0.616,1.1,1.3,0.8240000000000001,0.7,3.5,4.2,2.5,1.0,0.2,1.8,2.9,16.2,2021,banede01
28,Harrison Barnes,PF,28,SAC,27,27,35.1,5.4,11.2,0.48,1.7,4.4,0.38799999999999996,3.7,6.8,0.539,0.556,3.7,4.4,0.843,1.1,5.3,6.4,3.5,0.8,0.2,1.4,1.2,16.2,2021,barneha02
29,RJ Barrett,SG,20,NYK,29,29,34.0,6.7,15.6,0.42700000000000005,1.1,3.6,0.303,5.6,12.0,0.465,0.462,3.1,4.2,0.7390000000000001,1.4,5.1,6.5,3.3,0.8,0.2,2.0,2.6,17.5,2021,barrerj01
30,Will Barton,SF,30,DEN,25,21,29.8,5.3,12.1,0.436,1.9,4.8,0.40399999999999997,3.3,7.3,0.457,0.516,1.6,2.1,0.75,0.6,3.9,4.5,3.9,1.0,0.5,1.8,2.2,14.1,2021,bartowi01
31,Keita Bates-Diop,SF,25,SAS,8,0,3.4,0.0,12.0,0.0,0.0,5.3,0.0,0.0,6.7,0.0,0.0,6.7,8.0,0.833,1.3,2.7,4.0,2.7,1.3,0.0,0.0,0.0,6.7,2021,bateske01
