,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGPc,_3P,_3PA,_3PTPc,_2P,_2PA,_2PTPc,FT,FTA,FTPc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Season,PlayerID
0,Precious Achiuwa,PF,21,MIA,27,2,391,8.2,14.3,0.574,0.0,0.0,0.0,8.2,14.3,0.574,4.5,8.1,0.5539999999999999,4.5,8.7,13.2,2.1,1.5,1.9,3.6,6.6,20.9,107,108,2021,achiupr01
1,Jaylen Adams,PG,24,MIL,6,0,17,2.8,22.2,0.125,0.0,5.6,0.0,2.8,16.7,0.16699999999999998,0.0,0.0,0.0,0.0,8.3,8.3,5.6,0.0,0.0,0.0,2.8,5.6,46,116,2021,adamsja01
2,Steven Adams,C,27,NOP,25,25,727,6.0,10.1,0.593,0.0,0.1,0.0,6.0,10.0,0.597,1.9,4.0,0.483,7.5,7.8,15.3,3.9,1.5,0.9,3.0,3.2,13.9,120,115,2021,adamsst01
3,Bam Adebayo,C,23,MIA,25,25,839,10.6,18.5,0.5710000000000001,0.1,0.3,0.4,10.5,18.2,0.573,7.4,8.8,0.8420000000000001,2.8,10.9,13.6,7.7,1.5,1.5,4.4,3.6,28.7,120,108,2021,adebaba01
4,LaMarcus Aldridge,C,35,SAS,18,18,480,10.6,22.3,0.47600000000000003,2.4,6.7,0.358,8.2,15.7,0.525,1.6,2.1,0.762,1.5,6.3,7.7,3.5,0.7,1.6,1.6,2.7,25.2,107,112,2021,aldrila01
5,Ty-Shon Alexander,SG,22,PHO,3,0,8,0.0,18.6,0.0,0.0,6.2,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,6.2,6.2,6.2,0.0,0.0,0.0,6.2,0.0,23,114,2021,alexaty01
6,Nickeil Alexander-Walker,SG,22,NOP,22,3,438,8.5,20.8,0.406,2.6,9.6,0.267,5.9,11.2,0.525,2.8,3.6,0.7809999999999999,0.6,6.1,6.7,5.0,2.8,0.9,3.3,4.3,22.3,99,113,2021,alexani01
7,Grayson Allen,SG,25,MEM,17,6,396,6.1,14.6,0.41700000000000004,4.4,10.4,0.419,1.7,4.1,0.41200000000000003,3.8,4.3,0.8859999999999999,0.9,5.2,6.1,4.0,2.2,0.4,2.3,2.7,20.3,117,112,2021,allengr01
8,Jarrett Allen,C,22,TOT,28,10,734,8.0,12.5,0.642,0.1,0.3,0.25,8.0,12.2,0.6509999999999999,6.6,8.7,0.758,5.4,11.2,16.6,3.0,0.9,3.0,2.8,2.9,22.7,133,111,2021,allenja01
9,Al-Farouq Aminu,PF,30,ORL,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.7,0.0,0.0,26,116,2021,aminual01
