,Player,Pos,Age,Tm,G,MP,PG_Pc,SG_Pc,SF_Pc,PF_Pc,C_Pc,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season,PlayerID
0,Precious Achiuwa,PF,21,MIA,27,391,0.0,0.0,0.0,0.54,0.46,-7.6,-5.9,11,11,27,6,34,6,44,5,17,2021,achiupr01
1,Jaylen Adams,PG,24,MIL,6,17,0.96,0.04,0.0,0.0,0.0,-42.3,-50.7,0,0,1,0,0,0,5,0,0,2021,adamsja01
2,Steven Adams,C,27,NOP,25,727,0.0,0.0,0.0,0.0,1.0,2.0,7.6,17,16,22,9,27,4,132,4,10,2021,adamsst01
3,Bam Adebayo,C,23,MIA,25,839,0.0,0.0,0.0,0.51,0.49,-1.4,5.6,31,23,24,14,54,3,337,15,15,2021,adebaba01
4,LaMarcus Aldridge,C,35,SAS,18,480,0.0,0.0,0.0,0.0,1.0,-8.2,-12.5,7,3,20,4,11,0,87,2,7,2021,aldrila01
5,Ty-Shon Alexander,SG,22,PHO,3,8,0.0,0.0,1.0,0.0,0.0,-60.0,-64.4,0,0,0,0,0,0,2,0,0,2021,alexaty01
6,Nickeil Alexander-Walker,SG,22,NOP,22,438,0.03,0.79,0.18,0.0,0.0,-4.2,-4.6,18,6,20,2,16,2,101,5,11,2021,alexani01
7,Grayson Allen,SG,25,MEM,17,396,0.04,0.8,0.16,0.0,0.0,4.0,5.6,14,2,11,2,7,2,79,0,8,2021,allengr01
8,Jarrett Allen,C,22,TOT,28,734,0.0,0.0,0.0,0.12,0.88,-2.2,0.1,16,10,30,8,57,6,107,14,16,2021,allenja01
9,Al-Farouq Aminu,PF,30,ORL,1,5,0.0,0.0,0.0,1.0,0.0,-63.6,-57.2,1,0,0,0,1,0,2,0,0,2021,aminual01
10,Kyle Anderson,PF,27,MEM,22,623,0.0,0.0,0.0,0.71,0.29,-0.5,-2.3,18,7,21,3,26,3,190,4,14,2021,anderky01
11,Giannis Antetokounmpo,PF,26,MIL,26,869,0.0,0.0,0.01,0.94,0.05,9.3,4.8,28,25,26,24,133,4,391,38,22,2021,antetgi01
12,Kostas Antetokounmpo,PF,23,LAL,1,8,0.0,0.0,0.0,0.0,1.0,5.9,-1.0,1,1,1,0,0,0,0,0,2,2021,antetko01
13,Thanasis Antetokounmpo,SF,28,MIL,17,149,0.0,0.13,0.65,0.22,0.0,-8.2,-18.0,5,4,10,5,3,5,38,1,0,2021,antetth01
14,Carmelo Anthony,PF,36,POR,25,636,0.0,0.0,0.0,0.87,0.13,-4.0,-8.7,8,4,19,11,29,2,75,3,10,2021,anthoca01
15,Cole Anthony,PG,20,ORL,25,667,0.92,0.08,0.0,0.0,0.0,-7.3,-1.3,29,17,21,4,22,8,226,5,25,2021,anthoco01
16,OG Anunoby,SF,23,TOR,17,592,0.0,0.0,0.72,0.28,0.0,3.2,2.8,12,7,20,9,19,4,72,3,11,2021,anunoog01
17,Ryan Arcidiacono,PG,26,CHI,10,100,1.0,0.0,0.0,0.0,0.0,17.3,19.9,1,0,5,1,3,7,36,1,0,2021,arcidry01
