,Player,Pos,Age,Tm,G,MP,FGP,Dist,FGAxDist_2P,FGAxDist_0_3,FGAxDist_3_10,FGAxDist_10_16,FGAxDist_16_3P,FGAxDist_3P,FGPxDist_2P,FGPxDist_0_3,FGPxDist_3_10,FGPxDist_10_16,FGPxDist_16_3P,FGPxDist_3P,AstPc_2P,AstPc_3P,Dunks_FGA,Num_Dunks,Corner_3PFGA,Corner_3PPc,Heaves_Att,Heaves_Made,Season,PlayerID
0,Precious Achiuwa,PF,21,MIA,27,391,0.574,3.5,1.0,0.643,0.261,0.07,0.026000000000000002,0.0,0.574,0.716,0.3,0.375,0.33299999999999996,0.0,0.7120000000000001,0.0,0.29600000000000004,27,0.0,0.0,0,0,2021,achiupr01
1,Jaylen Adams,PG,24,MIL,6,17,0.125,11.0,0.75,0.25,0.375,0.125,0.0,0.25,0.16699999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,2021,adamsja01
2,Steven Adams,C,27,NOP,25,727,0.593,3.1,0.993,0.72,0.213,0.06,0.0,0.006999999999999999,0.597,0.657,0.469,0.33299999999999996,0.0,0.0,0.539,0.0,0.22,28,0.0,0.0,1,0,2021,adamsst01
3,Bam Adebayo,C,23,MIA,25,839,0.5710000000000001,8.7,0.9840000000000001,0.326,0.248,0.245,0.166,0.016,0.573,0.846,0.44299999999999995,0.462,0.396,0.4,0.639,1.0,0.188,54,0.2,0.0,0,0,2021,adebaba01
4,LaMarcus Aldridge,C,35,SAS,18,480,0.47600000000000003,16.7,0.7020000000000001,0.107,0.129,0.12,0.34700000000000003,0.298,0.525,0.625,0.44799999999999995,0.519,0.526,0.358,0.723,0.958,0.022000000000000002,5,0.179,0.41700000000000004,0,0,2021,aldrila01
5,Ty-Shon Alexander,SG,22,PHO,3,8,0.0,20.0,0.667,0.0,0.0,0.0,0.667,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,2021,alexaty01
6,Nickeil Alexander-Walker,SG,22,NOP,22,438,0.406,15.0,0.54,0.273,0.128,0.043,0.096,0.46,0.525,0.47100000000000003,0.583,0.5,0.611,0.267,0.34,0.87,0.027000000000000003,5,0.27899999999999997,0.292,0,0,2021,alexani01
7,Grayson Allen,SG,25,MEM,17,396,0.41700000000000004,20.3,0.28300000000000003,0.1,0.075,0.075,0.033,0.7170000000000001,0.41200000000000003,0.41700000000000004,0.556,0.33299999999999996,0.25,0.419,0.7140000000000001,0.9440000000000001,0.025,3,0.267,0.391,0,0,2021,allengr01
8,Jarrett Allen,C,22,TOT,28,734,0.642,4.1,0.9790000000000001,0.595,0.284,0.057999999999999996,0.042,0.021,0.6509999999999999,0.7879999999999999,0.46299999999999997,0.545,0.125,0.25,0.7190000000000001,1.0,0.263,47,0.5,0.5,0,0,2021,allenja01
9,Al-Farouq Aminu,PF,30,ORL,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,2021,aminual01
10,Kyle Anderson,PF,27,MEM,22,623,0.45899999999999996,14.8,0.5920000000000001,0.18,0.20600000000000002,0.13699999999999998,0.069,0.408,0.514,0.595,0.521,0.531,0.25,0.379,0.479,0.861,0.013000000000000001,3,0.41100000000000003,0.436,1,0,2021,anderky01
11,Giannis Antetokounmpo,PF,26,MIL,26,869,0.563,9.4,0.784,0.485,0.168,0.065,0.065,0.21600000000000003,0.6409999999999999,0.823,0.375,0.29,0.32299999999999995,0.282,0.44799999999999995,0.24100000000000002,0.151,70,0.028999999999999998,0.33299999999999996,0,0,2021,antetgi01
12,Kostas Antetokounmpo,PF,23,LAL,1,8,0.0,5.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0,0,2021,antetko01
13,Thanasis Antetokounmpo,SF,28,MIL,17,149,0.654,8.8,0.731,0.615,0.115,0.0,0.0,0.26899999999999996,0.789,0.875,0.33299999999999996,0.0,0.0,0.28600000000000003,0.667,1.0,0.308,8,0.429,0.667,0,0,2021,antetth01
14,Carmelo Anthony,PF,36,POR,25,636,0.4,17.6,0.603,0.069,0.1,0.231,0.203,0.397,0.41700000000000004,0.5,0.483,0.433,0.33899999999999997,0.374,0.192,0.721,0.01,2,0.27,0.419,0,0,2021,anthoca01
